file,class,method,variable,usage
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"stop/1[Map<java.lang.String,java.lang.String>]",submitter,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"stop/1[Map<java.lang.String,java.lang.String>]",stopped,2
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"stop/1[Map<java.lang.String,java.lang.String>]",METADATA_DURATION,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"stop/1[Map<java.lang.String,java.lang.String>]",METADATA_START_TIME,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"stop/1[Map<java.lang.String,java.lang.String>]",name,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"stop/1[Map<java.lang.String,java.lang.String>]",METADATA_TIMING_EVENT,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"stop/1[Map<java.lang.String,java.lang.String>]",METADATA_END_TIME,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"stop/1[Map<java.lang.String,java.lang.String>]",startTime,2
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"TimingEvent/2[EventSubmitter,java.lang.String]",submitter,3
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"TimingEvent/2[EventSubmitter,java.lang.String]",stopped,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"TimingEvent/2[EventSubmitter,java.lang.String]",name,3
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11486.java,TimingEvent,"TimingEvent/2[EventSubmitter,java.lang.String]",startTime,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6778.java,DefaultCasDocumentProvider,createDocument/1[java.lang.Object],READ_TIMEOUT,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6778.java,DefaultCasDocumentProvider,getTypeSystemPreferenceStore/1[java.lang.Object],tsPreferenceStores,2
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6778.java,DefaultCasDocumentProvider,saveTypeSystemPreferenceStore/1[java.lang.Object],tsPreferenceStores,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6778.java,DefaultCasDocumentProvider,"doSaveDocument/4[IProgressMonitor,java.lang.Object,ICasDocument,boolean]",READ_TIMEOUT,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6778.java,DefaultCasDocumentProvider,getSessionPreferenceStore/1[java.lang.Object],sessionPreferenceStores,2
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10049.java,SinkNodeFactory,describe/0,topicExtractor,1
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10049.java,SinkNodeFactory,"SinkNodeFactory/6[java.lang.String,java.lang.String[],TopicNameExtractor<K,V>,Serializer<K>,Serializer<V>,StreamPartitioner<? super K,? super V>]",partitioner,3
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10049.java,SinkNodeFactory,"SinkNodeFactory/6[java.lang.String,java.lang.String[],TopicNameExtractor<K,V>,Serializer<K>,Serializer<V>,StreamPartitioner<? super K,? super V>]",topicExtractor,3
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10049.java,SinkNodeFactory,"SinkNodeFactory/6[java.lang.String,java.lang.String[],TopicNameExtractor<K,V>,Serializer<K>,Serializer<V>,StreamPartitioner<? super K,? super V>]",keySerializer,3
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10049.java,SinkNodeFactory,"SinkNodeFactory/6[java.lang.String,java.lang.String[],TopicNameExtractor<K,V>,Serializer<K>,Serializer<V>,StreamPartitioner<? super K,? super V>]",valSerializer,3
