file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5107.java,GatewayReceiverParser,getBeanClass/1[Element],false,7,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,true
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5107.java,GatewayReceiverParser,"doParse/3[Element,ParserContext,BeanDefinitionBuilder]",false,15,3,0,0,0,1,6,13,0,1,3,6,0,0,0,0,0,0,7,0,1,0,0,0,0,0,10,4,0,true
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/8542.java,TestRun$Anonymous1,getFailureMessage/0,false,61,1,0,0,0,1,4,4,1,1,0,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,10,1,0,false
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/8542.java,TestRun$Anonymous1,test/0,false,44,0,0,0,0,4,4,10,2,0,0,4,0,0,2,0,0,0,1,0,0,0,3,0,0,0,14,1,0,false
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/8542.java,TestRun$Anonymous1,init/1[SWTBot],false,56,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4759.java,SyntaxTreeBuilderVisitor,"visit/2[ASTBasicGraphPattern,java.lang.Object]",false,58,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4759.java,SyntaxTreeBuilderVisitor,"visit/2[ASTIf,java.lang.Object]",false,194,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4759.java,SyntaxTreeBuilderVisitor,"visit/2[ASTCeil,java.lang.Object]",false,164,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4759.java,SyntaxTreeBuilderVisitor,"visit/2[ASTPrefixDecl,java.lang.Object]",false,12,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4759.java,SyntaxTreeBuilderVisitor,"visit/2[ASTCompare,java.lang.Object]",false,106,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4759.java,SyntaxTreeBuilderVisitor,"visit/2[ASTReplace,java.lang.Object]",false,186,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
