sample_id,severity,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,number
5553,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5553.java,IAopReferenceModel,interface,9,9,0,9,16,1,0,0,120,0.0,0.0,0.0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,5553
9341,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/9341.java,CachePolicyConfOther,class,7,7,0,7,2,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9,1,0,1,0,0,3,0,1,0,1,1,0,0,0,60,1,0,9341
12232,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/12232.java,DruidPooledCallableStatement,class,23,24,1,23,232,2,0,57,0,0.025641026,0.9656671999999998,0.9656671999999998,117,0,116,1,0,0,116,0,0,0,1,0,0,1,0,0,0,0,0,926,65,0,2,111,0,1,0,8,0,7,2,0,0,0,90,1,0,12232
10234,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10234.java,GatewayHub$Gateway$GatewayEndpoint,innerclass,3,3,0,3,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,0,3,0,0,0,0,23,3,0,0,0,0,4,0,3,0,3,0,0,0,0,46,9,0,10234
10234,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10234.java,GatewayHub$Gateway,innerclass,9,9,0,9,18,1,0,0,106,0.8888889000000001,0.058333334,0.058333334,16,0,16,0,0,0,16,0,0,0,9,0,0,0,9,0,0,0,0,153,9,0,2,0,0,16,0,9,0,9,1,0,2,0,114,9,0,10234
10234,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10234.java,GatewayHub,class,8,8,0,8,18,1,0,0,120,0.88888884,0.05882353,0.05882353,17,0,17,0,0,0,17,0,0,0,9,0,0,0,9,0,0,0,0,218,9,0,1,0,0,12,0,9,0,9,1,0,1,0,92,9,0,10234
10234,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10234.java,GatewayHub$Gateway$GatewayQueue,innerclass,3,3,0,3,18,1,0,0,135,0.8888889000000001,0.05882353,0.05882353,18,0,18,0,0,0,18,0,0,0,9,0,0,0,9,0,0,0,0,65,9,0,0,0,0,10,0,9,0,9,0,0,0,0,67,9,0,10234
4302,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4302.java,FieldAttributeModel,class,6,7,1,6,35,1,0,12,129,0.8848685,0.12280702,1.0,19,0,18,0,1,0,19,0,0,0,16,0,0,16,0,0,1,0,0,112,17,0,0,0,4,5,8,20,3,18,2,0,0,0,86,1,0,4302
10340,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10340.java,BasicBundleInfo,class,2,2,0,2,28,1,0,1,316,0.90816337,0.037037037,0.037037037,28,0,28,0,0,0,28,0,0,0,14,0,0,14,0,0,0,0,0,100,14,0,0,0,0,0,0,24,0,14,0,0,0,0,49,1,0,10340
11891,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11891.java,Attachment,class,2,3,1,2,30,1,0,0,405,0.93333334,0.03448276,0.03448276,30,0,30,0,0,0,30,0,0,0,15,0,0,15,0,0,0,0,0,130,15,0,0,0,0,0,0,15,0,15,0,0,1,0,30,1,0,11891
11891,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11891.java,Attachment$Field,innerclass,0,0,0,0,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1,0,11891
